title,salary,desc,company_name,company_address,min_salary,max_salary,address_lat,address_lon,categories
"Грузчик (Вокзальная, 8)",до 39 500 руб.,"Компания «САЛАИР» — крупнейший логистический оператор для промышленных холдингов. Мы предоставляем транспортные и складские услуги, поставки комплектующих для транспортного машиностроения. На сегодняшний день САЛАИР: 75 регионов присутствия; 150 складов на территории России; более 200 регулярных транспортных…",Рэйлальянс,"г Иркутск, ул Вокзальная, д 8",,39500.0,,,грузчик
Водитель автобуса,от 45 000 руб.,Перевозка пассажиров на регулярных городских пассажирских маршрутах города Иркутска. Требования: Стаж работы не менее одного года. Водительские права: категория D; Желание работать с людьми. Дисциплина и пунктуальность. Желательно иметь действующую карту водителя для тахографа с блоком СКЗИ. Условия:…,МУП «Иркутсавтотранс»,"г. Иркутск, ул. Тухачевского 2",45000.0,,,,водитель
Грузчик,30 000 — 40 000 руб.,"Осуществлять погрузку, выгрузку и внутрискладскую переработку грузов, крупногабаритных твердых бытовых отходов (переноска, перевозка до контейнерной площадки); очистка подвижного состава (контейнера) после произведенной выгрузки груза; переноска щитов, трапов; чистка и смазка, мелкий ремонт обслуживаемых…","Акционерное общество ""Иркутская областная оптово-снабженческая аптечная база""","Иркутск, ул. Тухачевского, 3/3",30000.0,40000.0,,,грузчик
Менеджер по продажам,60 000 — 80 000 руб.,Компания «Декорель Байкал» занимается импортом и оптовой продажей товаров народного потребления под т.м. «Dekorelle». Мы являемся компанией федерального уровня и реализуем продукцию на всей территории РФ и в странах СНГ. Обязанности: Работа с клиентской базой (холодные и теплые звонки) Работа в программе…,"ООО ""ДЕКОРЕЛЬ БАЙКАЛ""",Иркутск,60000.0,80000.0,52.289597,104.280586,менеджер
Разнорабочий,30 000 — 50 000 руб.,"Фасовка, погрузка, разгрузка; Требования: физическая подготовленность, ответственность, пунктуальность. Условия: график работы 5/2, 2/2 - с 9:00 до 18:00. Можем подобрать так же для вас индивидуальный график работы. Ежедневная оплата труда, мин 1500 руб/смена; премии",Агросев,"г Иркутск, ул Розы Люксембург, д 216",30000.0,50000.0,,,другое
Сторож,21 000 — 22 000 руб.,Ночные смены;,Муниципальное казенное общеобразовательное учреждение чичковская основная общеобразовательная школа,"Иркутская обл, Усть-Удинский р-н, деревня Чичкова, ул Школьная, д 3",21000.0,22000.0,,,другое
Сварщик,135 000 — 140 000 руб.,"Сварка трубопроводов, металлоконструкций; Требования: 5, 6 разряд; Условия: работа вахтовым методом 60/30; спецодежда, питание, проживание, доставка с Ангарска до места работы за счет работодателя; обучение НАКС;","ООО ""СМ""",Вахта в Ангарске,135000.0,140000.0,,,другое
Курьер,64 000 — 140 000 руб.,"Доставляем с 2018 года! Свободный график, ежедневные выплаты и заботливая поддержка коллег - делают работу удобной и комфортной. Более 150 тыс. Курьеров зарабатывают с нами! Условия: абсолютно свободный график (включая выходные дни и вечернее время); не требуется спецодежда и униформа; работать можно…",Курьеры и Доставка,Ангарск,64000.0,140000.0,52.5311117,103.8826109,курьер
Специалист по сбору информации,от 27 000 руб.,"2GIS существует на рынке более 23 лет и за это время превратился из семейного бизнеса в компанию, где работает более 5 000 сотрудников! С нашей помощью городские жители находят нужные места, услуги и продукты. Мы зарабатываем на цифровой рекламе, предоставляя рекламодателям выход на заинтересованную…","ООО ""2ГИС УЛАН-УДЭ""",Переезд в Улан-Удэ,27000.0,,51.8357841,107.5839105,другое
Программист 1С,80 000 — 100 000 руб.,Разработка и доработка собственных конфигураций 1с (Учет медикаментов в Больницах-Маркировка лекарств и Учет медикаментов в аптеках-маркировка лекарств) Требования: Опыт от 2 х лет; Условия: физическое присутствие в офисе (удаленка не устроит). Приезжим поможем с жильем. Рассматриваем кандидатов с других…,"ООО ""МЕГАБАЙТ ПЛЮС""",Переезд в Улан-Удэ,80000.0,100000.0,51.8357841,107.5839105,программист
Грузчик (Гремячинск),от 30 000 руб.,"Честный, трудолюбивый; Условия: Вахта 15 дней/15. Проезд на машине организации из города Улан-Удэ. Проживание в теплой комнате. Зарплата без задержек два раза в месяц; Официальное трудоустройство, социальные гарантии; Карьерный рост, обучение, премии;","""КОМПАНИЯ ТИТАН""",Вахта в Улан-Удэ,30000.0,,51.8357841,107.5839105,грузчик
Мастер участка,40 000 — 60 000 руб.,"Нахождение на объекте, ведение объекта, следить за ходом выполнения работ; Требования: ответственность; Условия: полный рабочий день;","ООО ""ПОКРОВ""",Переезд в Улан-Удэ,40000.0,60000.0,51.8357841,107.5839105,другое
Водитель грузового автомобиля (седельный тягач с прицепом/полуприцепом),100 000 руб.,"Перевозка груза (пос. Магистральный) правильное заполнение путевых листов, сопроводительных документов к грузу; Требования: дисциплинированность; категория С Е обязательны; базовые навыки ремонта грузовых тягачей; Условия: вахтовый метод работы (2 месяца вахта со сдельной рейсовой оплатой (доход в среднем…",СтроительноЛогистическаяКомпания,Вахта в Магистральном,,,,,водитель
Слесарь по изготовлению и ремонту РВД,до 115 000 руб.,"Изготовление и ремонт рукавов высокого давления. Ремонт и обслуживание СДМ – экскаваторов, бульдозеров, автогрейдеров, катков и др. Ремонт грузовых автомобилей. Требования: Опыт работы от 1 года. Профильное образование (обязательно!). 3 - 6 разряд. Условия: Работа вахтой; Оплачиваемый проезд в обе стороны…",Актив г. Обнинск,Вахта в Магистральном,,115000.0,,,другое
Продавец-кассир,от 28 000 руб.,"Прием оплаты от покупателей и отпуск товара, работа с онлайн-кассой и терминалом; Требования: знание 1с розница; Условия: скользящий график работы 5 через 2.","ООО ""ДОВЕРИЕ+""",Переезд в Читу,28000.0,,11.26029365,75.9522314216161,продавец
Автомойщик,от 40 000 руб.,"Мойка автомобилей с использованием спецоборудования и спецсредств. Требования: Аккуратность, ответственность. Условия: Официальная заработная плата; Оформления в соответствии с ТК РФ (оплачиваемые отпуск и больничный лист); Предоставляются возможности профессионального развития и карьерного роста; Работа…",Чита Моторс,Переезд в Читу,40000.0,,11.26029365,75.9522314216161,другое
Водитель категории B,от 40 000 руб.,"Работа в городе; Управление автомобилем, категории «В»; Ведение путевой документации; Соблюдение ПДД; Требования: наличие водительских прав с кат. B; Должность предполагает материальную ответственность; Условия: Работа в крупной, стабильной компании; Официальное оформление согласно ТК РФ;",ИП Иванов Э.Ю.,Переезд в Читу,40000.0,,11.26029365,75.9522314216161,водитель
Швея,35 000 — 45 000 руб.,Консультация; Изготовление товаров; Требования: Опыт работы не обязателен; Аккуратность; Условия: Трудоустройство по ТК РФ\ по договору; с 10:00 до 20:00;,Индивидуальный предприниматель КЫДЫРАЛИЕВА НУРЗАТ ЧОЛПОНБАЕВНА,Переезд в Читу,35000.0,45000.0,11.26029365,75.9522314216161,другое
Директор магазина,по договоренности,"Построить эффективную работу магазина ""ОШЕАН"" Обеспечить, чтобы магазин выполнял свои цели и задачи по товарообороту, валовой прибыли; Анализировать и ставить задачи для увеличения эффективности магазина. Достигать их вместе с командой магазина; Влиять на ассортимент магазина и ценовую политику, добиваясь…","Сеть магазинов ""ОШЕАН""",Переезд в Кызыл,,,51.719079,94.4300679,другое
